"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"248",3330,10,0.204,1,1,0,0,1,0,0,1,0,3,0,0,4,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.693,-3.02,8.789,0,0,1,1,1,0.765,2.012,0.834,244
"249",3340,0,0.798,0,1,0,0,1,1,0,0,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693,-6.029,0,1,0,1,1,1,-1.317,1.721,2.109,245
"250",3345,0.5,1,0,1,0,0,1,1,0,0,1,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.693,-5.151,7.177,1,0,1,1,1,-1.226,1.787,2.099,246
"251",3350,0,0.798,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-4.948,0,0,0,1,1,0,-1.19,-0.488,-0.075,247
"252",3355,5,0.192,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.693,-0.377,8.864,0,1,1,0,0,1.061,0.027,-0.456,248
"253",3360,9,0.77,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.693,-0.113,8.599,0,1,1,0,0,0.978,0.056,-0.459,249
"254",3365,5,0.17,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.693,-0.118,8.753,0,1,1,0,0,1.079,0.019,-0.447,250
"255",3370,5,-0.009,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.693,-0.145,8.45,0,0,0,0,0,1.069,0.047,-0.586,251
"256",3375,10,0.498,1,1,1,0,1,0,0,1,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0.693,-0.288,8.544,0,1,1,0,0,0.994,0.698,-0.473,252
"257",3385,3,0.197,1,1,0,0,1,0,0,1,0,3,0,1,4,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.693,-3.406,7.854,0,1,1,0,0,0.664,2.919,-0.296,253
"258",3390,4,0.208,1,0,0,0,1,0,0,1,0,3,1,0,4,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693,-2.366,8.603,0,1,1,0,0,0.823,2.847,-0.222,254
